,block_mined,gas,gas_price,hashpower_accepting,round_gp_10gwei,time_mined,tx_cost
b'\x1f\xbb\x1ft\xca\x8d\x1a\xb29vU\x11\xcf\x19l\xcdT\x19d\xc1\xbd{m\xebvjc\xdc\xaf\xdc\x1f\xec',8934630.0,90000.0,1000000000.0,36.0,10.0,1573766197.0,900000.0
b'\x1f\xe5\xa7\xd5C\xe8q2\x8eC\x0c\x9fW\xe6vF\x0f\x9dM\xea\xce/\xb4\xd7\xdb\x1f\xa0\x05\xa5\x18\x80\xe6',8934626.0,90000.0,20000000000.0,100.0,200.0,1573766161.0,18000000.0
b'!UYn\x8bb7\xeav\xe1\xd2\xcf\x07\xa9(}\xc4\xdf\xb9\x7f\x91Q\xa6|\xe4\x92T\x87\xfdb\xc7\x91',8934629.0,21000.0,50000000000.0,100.0,500.0,1573766190.0,10500000.0
b'!c\xc5\xf3x\x89\xd0G\xdaL\x84\xa0\xbf\x98\xd8\xa3KI\xa5\x98\xf0\xff\x0b\xfd+iOx\xa9\x15\xd1\xb3',8934633.0,56281.0,1000000000.0,36.0,10.0,1573766280.0,562810.0
b'!}\xbdi\xa7\x19\x04>\xfa\x9e9\xa1\x8dN\xd5i\x1awL\xf0\x86\xfeT&W\xce\xdc\xb4J\n\x1d\xed',8934626.0,566397.0,25000000000.0,100.0,250.0,1573766161.0,141599250.0
b'!\xc8\xb6)O\xd9n\x03\x8fx\xef\x9bs[\xf4b\x8b\xa0&\n !\xfe\x8f\xd1\r\x840kX\x12\xd7',8934626.0,21000.0,10000000000.0,100.0,100.0,1573766161.0,2100000.0
b'!\xecY\xa0\xac\x95\xedq8\xc0\x8c\xefrUj\x01\xdc\x88\xc2e\xb5\xcd{^\x9b\xca\x8e\xb2\xdd\xc7\x9b\x13',8934630.0,100000.0,2250000000.0,36.0,20.0,1573766197.0,2000000.0
"b'""K\x8e\xf6\xc5\xc1\x04\xe7y\xc3\xb2\x85\xa1Qn\xc5\x16#\x81*\xe5\x10D,\x1bsB\rM\xb5Z\xdc'",8934634.0,65500.0,4000000000.0,48.99999999999999,40.0,1573766286.0,
b'#e\x88?\x86\xd6\\\ns$\xc6\xb8\xbc\xbd\xa45LN\xdc\x001\x01\xf6\xe4\xab\xfe/\x85\xaa\xcd\x0c_',8934630.0,21000.0,1000000000.0,36.0,10.0,1573766197.0,210000.0
b'#\x8d\xdf\x0fb\xef\x99\xb4\x15\xa4\x04\xa4\xdfHc\xe1;\xec\x1ec_\t\xe7.\x19\xd2\xd3\xad\xed\x1b\xd9\xbe',8934633.0,110996.0,10000000000.0,100.0,100.0,1573766280.0,11099600.0
"b""%n\x8fo\xf6\xf1c\x932>\x90'\xac6\xe7;\xa2?\xacB\xf1\xe3\x02wN~S\x0e}h\xbd\x86""",8934634.0,90000.0,26000000000.0,100.0,260.0,1573766286.0,
b'&\xa4AFO*.F\xdcqj\xe7\xe1\xb0rS[X\xda \xb5\xba\xae\x91/\xfe\xe0\xf7\x94\x9f\xa7\xa5',8934629.0,90000.0,26000000000.0,100.0,260.0,1573766190.0,23400000.0
